id,Geographic Area Name,Total,White ,White %,Black or African American,Black %,Asian,Asian %,Other,Other %
0500000US01097,"Mobile County, Alabama",414809,229550,55.33872216,146254,35.25815496,8585,2.069627226,30420,7.333495657
0500000US01099,"Monroe County, Alabama",19772,10391,52.55411693,8299,41.97349788,88,0.445073842,994,5.027311349
0500000US01101,"Montgomery County, Alabama",228954,75074,32.78999275,130467,56.98393564,7995,3.491967819,15418,6.734103794
0500000US01103,"Morgan County, Alabama",123421,89869,72.81499907,15453,12.52055971,850,0.688699654,17249,13.97574157
0500000US01105,"Perry County, Alabama",8511,2359,27.71707202,5936,69.74503584,10,0.117495006,206,2.420397133
0500000US01107,"Pickens County, Alabama",19123,10739,56.15750667,7489,39.16226533,78,0.407885792,817,4.272342206
0500000US01109,"Pike County, Alabama",33009,18275,55.36368869,12138,36.77178951,588,1.781332364,2008,6.083189433
0500000US01111,"Randolph County, Alabama",21967,16772,76.35088997,3815,17.36695953,87,0.396048618,1293,5.88610188
0500000US01113,"Russell County, Alabama",59183,27532,46.52011557,26243,44.34212527,420,0.709663248,4988,8.428095906
0500000US01115,"St. Clair County, Alabama",91103,75728,83.12349758,8652,9.496943021,663,0.727747714,6060,6.651811686
0500000US01117,"Shelby County, Alabama",223024,165206,74.07543583,28939,12.97573355,5152,2.310065284,23727,10.63876533
0500000US01119,"Sumter County, Alabama",12345,2974,24.09072499,8997,72.87970838,102,0.826245443,272,2.203321183
0500000US01121,"Talladega County, Alabama",82149,51214,62.3428161,26439,32.18420188,395,0.480833607,4101,4.992148413
0500000US01123,"Tallapoosa County, Alabama",41311,28477,68.93321391,10409,25.19667885,222,0.537387137,2203,5.332720099
0500000US01125,"Tuscaloosa County, Alabama",227036,136582,60.15874134,69088,30.43041632,3253,1.432812417,18113,7.978029916
0500000US01127,"Walker County, Alabama",65342,57012,87.2516911,3929,6.01297787,297,0.454531542,4104,6.280799486
0500000US01129,"Washington County, Alabama",15388,10309,66.99376137,3318,21.5622563,14,0.090979984,1747,11.35300234
0500000US01131,"Wilcox County, Alabama",10600,2880,27.16981132,7483,70.59433962,7,0.066037736,230,2.169811321
0500000US01133,"Winston County, Alabama",23540,21760,92.43840272,141,0.598980459,61,0.25913339,1578,6.703483432
0500000US02013,"Aleutians East Borough, Alaska",3420,684,20,297,8.684210526,771,22.54385965,1668,48.77192982
0500000US02016,"Aleutians West Census Area, Alaska",5232,1667,31.8616208,259,4.95030581,1513,28.91819572,1793,34.26987768
0500000US02020,"Anchorage Municipality, Alaska",291247,164446,56.46272751,14576,5.004686744,27646,9.492286616,84579,29.04029913
0500000US02050,"Bethel Census Area, Alaska",18666,1665,8.919961427,85,0.455373406,202,1.082181506,16714,89.54248366
0500000US02060,"Bristol Bay Borough, Alaska",844,370,43.83886256,6,0.710900474,5,0.592417062,463,54.85781991
0500000US02063,"Chugach Census Area, Alaska",7102,4907,69.09321318,49,0.689946494,529,7.448606026,1617,22.7682343
0500000US02066,"Copper River Census Area, Alaska",2617,1611,61.55903707,8,0.305693542,17,0.649598777,981,37.48567062
0500000US02068,"Denali Borough, Alaska",1619,1382,85.36133416,11,0.679431748,13,0.802964793,213,13.1562693
0500000US02070,"Dillingham Census Area, Alaska",4857,799,16.45048384,25,0.514721021,48,0.988264361,3985,82.04653078
0500000US02090,"Fairbanks North Star Borough, Alaska",95655,65971,68.96764414,4014,4.196330563,3104,3.244995034,22566,23.59103027
0500000US02100,"Haines Borough, Alaska",2080,1589,76.39423077,2,0.096153846,14,0.673076923,475,22.83653846
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2365,1147,48.49894292,6,0.253699789,16,0.67653277,1196,50.57082452
0500000US02110,"Juneau City and Borough, Alaska",32255,20124,62.39032708,350,1.085103085,2101,6.513718803,9680,30.01085103
0500000US02122,"Kenai Peninsula Borough, Alaska",58799,46382,78.88229392,386,0.65647375,809,1.375873739,11222,19.08535859
0500000US02130,"Ketchikan Gateway Borough, Alaska",13948,8430,60.43877258,103,0.738457126,1129,8.094350445,4286,30.72841985
0500000US02150,"Kodiak Island Borough, Alaska",13101,6570,50.1488436,90,0.68697046,2803,21.39531333,3638,27.76887261
0500000US02158,"Kusilvak Census Area, Alaska",8368,173,2.067399618,16,0.191204589,23,0.274856597,8156,97.4665392
0500000US02164,"Lake and Peninsula Borough, Alaska",1476,303,20.52845528,2,0.135501355,9,0.609756098,1162,78.72628726
0500000US02170,"Matanuska-Susitna Borough, Alaska",107081,83035,77.54410213,1121,1.04687106,1559,1.45590721,21366,19.9531196
0500000US02180,"Nome Census Area, Alaska",10046,1422,14.15488752,55,0.547481585,111,1.10491738,8458,84.19271352
0500000US02185,"North Slope Borough, Alaska",11031,3082,27.93944339,162,1.468588523,641,5.810896564,7146,64.78107153
0500000US02188,"Northwest Arctic Borough, Alaska",7793,700,8.982420121,72,0.92390607,55,0.705761581,6966,89.38791223
0500000US02195,"Petersburg Borough, Alaska",3398,2470,72.68981754,49,1.44202472,123,3.619776339,756,22.2483814
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5753,2403,41.76951156,22,0.382409178,27,0.469320355,3301,57.37875891
0500000US02220,"Sitka City and Borough, Alaska",8458,5174,61.1728541,37,0.437455663,573,6.774651218,2674,31.61503902
0500000US02230,"Skagway Municipality, Alaska",1240,1070,86.29032258,10,0.806451613,39,3.14516129,121,9.758064516
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6808,5085,74.69153937,74,1.086956522,87,1.277908343,1562,22.94359577
0500000US02275,"Wrangell City and Borough, Alaska",2127,1352,63.56370475,0,0,25,1.175364363,750,35.26093089
0500000US02282,"Yakutat City and Borough, Alaska",662,249,37.61329305,4,0.604229607,32,4.833836858,377,56.94864048
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5343,1130,21.14916713,7,0.13101254,8,0.149728617,4198,78.57009171
0500000US04001,"Apache County, Arizona",66021,14873,22.52768059,185,0.280213871,312,0.472576907,50651,76.71952863
0500000US04003,"Cochise County, Arizona",125447,81733,65.1534114,4783,3.81276555,2712,2.161869156,36219,28.87195389
0500000US04005,"Coconino County, Arizona",145101,83360,57.44963853,1961,1.351472423,2674,1.842854288,57106,39.35603476
0500000US04007,"Gila County, Arizona",53272,35904,67.39750713,282,0.529358763,445,0.835335636,16641,31.23779847
0500000US04009,"Graham County, Arizona",38533,25043,64.99104664,537,1.393610671,192,0.498274207,12761,33.11706849
0500000US04011,"Greenlee County, Arizona",9563,6584,68.84868765,87,0.909756353,75,0.784272718,2817,29.45728328
0500000US04012,"La Paz County, Arizona",16557,9772,59.02035393,114,0.688530531,115,0.694570272,6556,39.59654527
0500000US04013,"Maricopa County, Arizona",4420568,2645512,59.84552211,260469,5.892206612,203696,4.607914639,1310891,29.65435663
0500000US04015,"Mohave County, Arizona",213267,169732,79.58662147,2221,1.041417566,2734,1.28196111,38580,18.08999986
0500000US04017,"Navajo County, Arizona",106717,48430,45.38171051,760,0.712163948,567,0.531311787,56960,53.37481376
0500000US04019,"Pima County, Arizona",1043433,633382,60.70174127,39954,3.829091087,31367,3.006134558,338730,32.46303308
0500000US04021,"Pinal County, Arizona",425264,269258,63.31549343,21968,5.165732345,6718,1.579724595,127320,29.93904963
0500000US04023,"Santa Cruz County, Arizona",47669,15929,33.41584678,187,0.392288489,304,0.63773102,31249,65.55413371
0500000US04025,"Yavapai County, Arizona",236209,192507,81.49858811,1543,0.653235059,2932,1.241273618,39227,16.60690321
0500000US04027,"Yuma County, Arizona",203881,90318,44.29937071,4099,2.010486509,2587,1.268877433,106877,52.42126535
0500000US05001,"Arkansas County, Arkansas",17149,11698,68.21389002,4156,24.23464925,94,0.548136918,1201,7.003323809
0500000US05003,"Ashley County, Arkansas",19062,12958,67.97817648,4669,24.49375721,41,0.215087609,1394,7.312978701
0500000US05005,"Baxter County, Arkansas",41627,38489,92.46162347,90,0.216205828,234,0.562135153,2814,6.760035554
0500000US05007,"Benton County, Arkansas",284333,201188,70.75787897,4732,1.664245796,13721,4.825679749,64692,22.75219549
0500000US05009,"Boone County, Arkansas",37373,34128,91.31726112,108,0.288978674,246,0.658229203,2891,7.735530998
0500000US05011,"Bradley County, Arkansas",10545,5890,55.85585586,2937,27.85206259,30,0.284495021,1688,16.00758653
0500000US05013,"Calhoun County, Arkansas",4739,3539,74.67820215,913,19.26566786,6,0.126608989,281,5.929520996
0500000US05015,"Carroll County, Arkansas",28260,21952,77.67869781,95,0.33616419,567,2.006369427,5646,19.97876858
0500000US05017,"Chicot County, Arkansas",10208,3953,38.72452978,5417,53.06622257,38,0.372257053,800,7.836990596
0500000US05019,"Clark County, Arkansas",21446,14316,66.75370698,5127,23.906556,153,0.713419752,1850,8.626317262
0500000US05021,"Clay County, Arkansas",14552,13731,94.35816383,42,0.288620121,15,0.103078615,764,5.250137438
0500000US05023,"Cleburne County, Arkansas",24711,22953,92.88575938,69,0.279227874,102,0.41277164,1587,6.422241107
0500000US05025,"Cleveland County, Arkansas",7550,6466,85.64238411,686,9.086092715,7,0.092715232,391,5.178807947
0500000US05027,"Columbia County, Arkansas",22801,13371,58.64216482,7866,34.49848691,168,0.736809789,1396,6.122538485
0500000US05029,"Conway County, Arkansas",20715,16367,79.01037895,2209,10.66377021,90,0.434467777,2049,9.891383056
0500000US05031,"Craighead County, Arkansas",111231,80639,72.49687587,18473,16.60778021,1692,1.52115867,10427,9.374185254
0500000US05033,"Crawford County, Arkansas",60133,48610,80.83747693,897,1.491693413,947,1.574842433,9679,16.09598723
0500000US05035,"Crittenden County, Arkansas",48163,19276,40.02242385,25905,53.78610136,327,0.678944418,2655,5.512530366
0500000US05037,"Cross County, Arkansas",16833,12213,72.55391196,3658,21.73112339,102,0.605952593,860,5.10901206
0500000US05039,"Dallas County, Arkansas",6482,3487,53.79512496,2592,39.98765813,7,0.107991361,396,6.109225548
0500000US05041,"Desha County, Arkansas",11395,4845,42.51864853,5398,47.37165423,61,0.53532251,1091,9.574374726
0500000US05043,"Drew County, Arkansas",17350,11291,65.0778098,4846,27.93083573,108,0.622478386,1105,6.368876081
0500000US05045,"Faulkner County, Arkansas",123498,94088,76.18584916,14384,11.64715218,1475,1.194351326,13551,10.97264733
0500000US05047,"Franklin County, Arkansas",17097,15367,89.88126572,79,0.462069369,163,0.953383635,1488,8.703281277
0500000US05049,"Fulton County, Arkansas",12075,11249,93.15942029,27,0.223602484,35,0.289855072,764,6.327122153
0500000US05051,"Garland County, Arkansas",100180,78837,78.69534837,8128,8.113395887,972,0.970253544,12243,12.2210022
0500000US05053,"Grant County, Arkansas",17958,16304,90.78962022,458,2.550395367,77,0.42877826,1119,6.231206148
0500000US05055,"Greene County, Arkansas",45736,41038,89.7280042,933,2.039968515,181,0.395749519,3584,7.836277768
0500000US05057,"Hempstead County, Arkansas",20065,11006,54.85173187,5683,28.32295041,96,0.478445054,3280,16.34687266
0500000US05059,"Hot Spring County, Arkansas",33040,26525,80.281477,3472,10.50847458,114,0.34503632,2929,8.865012107
0500000US05061,"Howard County, Arkansas",12785,8164,63.85608135,2642,20.66484161,63,0.492764959,1916,14.98631208
0500000US05063,"Independence County, Arkansas",37938,32108,84.63282197,849,2.237861774,345,0.90937846,4636,12.21993779
0500000US05065,"Izard County, Arkansas",13577,12306,90.63857995,256,1.885541725,27,0.198865729,988,7.277012595
0500000US05067,"Jackson County, Arkansas",16755,12890,76.93225903,2786,16.62787228,63,0.376007162,1016,6.063861534
0500000US05069,"Jefferson County, Arkansas",67260,25478,37.87986916,37835,56.25185846,673,1.000594707,3274,4.867677669
0500000US05071,"Johnson County, Arkansas",25749,20088,78.01468018,482,1.871917356,926,3.596256165,4253,16.5171463
0500000US05073,"Lafayette County, Arkansas",6308,3906,61.92136969,2057,32.60938491,32,0.507292327,313,4.961953075
0500000US05075,"Lawrence County, Arkansas",16216,15044,92.7725703,143,0.881845091,39,0.240503207,990,6.105081401
0500000US05077,"Lee County, Arkansas",8600,3465,40.29069767,4663,54.22093023,13,0.151162791,459,5.337209302
0500000US05079,"Lincoln County, Arkansas",12941,8324,64.32269531,3652,28.22038482,23,0.177729696,942,7.279190171
0500000US05081,"Little River County, Arkansas",12026,8714,72.45967071,2178,18.11076002,23,0.191252287,1111,9.23831698
0500000US05083,"Logan County, Arkansas",21131,18826,89.09185557,232,1.097913019,328,1.552221854,1745,8.258009559
0500000US05085,"Lonoke County, Arkansas",74015,61624,83.25879889,4386,5.925825846,733,0.990339796,7272,9.825035466
0500000US05087,"Madison County, Arkansas",16521,14275,86.40518128,41,0.248168997,102,0.617396041,2103,12.72925368
0500000US05089,"Marion County, Arkansas",16826,15569,92.52941876,20,0.118863663,56,0.332818257,1181,7.018899322
0500000US05091,"Miller County, Arkansas",42600,28036,65.81220657,10988,25.79342723,205,0.481220657,3371,7.91314554
0500000US05093,"Mississippi County, Arkansas",40685,23208,57.04313629,14323,35.20462087,245,0.602187538,2909,7.150055303
0500000US05095,"Monroe County, Arkansas",6799,3568,52.47830563,2760,40.59420503,28,0.411825268,443,6.515664068
0500000US05097,"Montgomery County, Arkansas",8484,7577,89.30928807,18,0.212164074,50,0.589344649,839,9.889203206
0500000US05099,"Nevada County, Arkansas",8310,5218,62.79181709,2444,29.41034898,45,0.541516245,603,7.25631769
0500000US05101,"Newton County, Arkansas",7225,6689,92.58131488,7,0.096885813,24,0.332179931,505,6.989619377
0500000US05103,"Ouachita County, Arkansas",22650,12194,53.83664459,8899,39.28918322,126,0.556291391,1431,6.317880795
0500000US05105,"Perry County, Arkansas",10019,9165,91.47619523,107,1.067970855,12,0.119772432,735,7.336061483
0500000US05107,"Phillips County, Arkansas",16568,5616,33.89666828,10343,62.42757122,65,0.392322549,544,3.283437953
0500000US05109,"Pike County, Arkansas",10171,8681,85.35050634,241,2.36948186,16,0.157309999,1233,12.1227018
0500000US05111,"Poinsett County, Arkansas",22965,19391,84.43718702,1783,7.763988678,61,0.265621598,1730,7.5332027
0500000US05113,"Polk County, Arkansas",19221,16428,85.46901826,43,0.223713647,100,0.520264294,2650,13.7870038
0500000US05115,"Pope County, Arkansas",63381,51409,81.11105852,2100,3.313295783,679,1.07129897,9193,14.50434673
0500000US05117,"Prairie County, Arkansas",8282,6964,84.08596957,925,11.16879981,21,0.253561942,372,4.491668679
0500000US05119,"Pulaski County, Arkansas",399125,199197,49.90842468,143548,35.96567491,10035,2.514249922,46345,11.61165049
0500000US05121,"Randolph County, Arkansas",18571,16684,89.83899628,140,0.753863551,75,0.403855474,1672,9.003284691
0500000US05123,"St. Francis County, Arkansas",23090,9551,41.36422694,12561,54.40017324,127,0.550021654,851,3.685578172
0500000US05125,"Saline County, Arkansas",123416,98388,79.72061969,10414,8.438127957,1467,1.188662734,13147,10.65258962
0500000US05127,"Scott County, Arkansas",9836,8210,83.46888979,35,0.355835706,278,2.826352176,1313,13.34892233
0500000US05129,"Searcy County, Arkansas",7828,7123,90.99386817,5,0.063873275,20,0.255493102,680,8.686765457
0500000US05131,"Sebastian County, Arkansas",127799,86828,67.9410637,8061,6.307561092,5789,4.529769404,27121,21.2216058
0500000US05133,"Sevier County, Arkansas",15839,9594,60.57200581,578,3.649220279,65,0.410379443,5602,35.36839447
0500000US05135,"Sharp County, Arkansas",17271,15876,91.9228765,118,0.683226217,60,0.347403161,1217,7.046494123
0500000US05137,"Stone County, Arkansas",12359,11488,92.95250425,21,0.16991666,30,0.242738086,820,6.634841007
0500000US05139,"Union County, Arkansas",39054,23216,59.44589543,12729,32.59333231,280,0.71695601,2829,7.243816254
0500000US05141,"Van Buren County, Arkansas",15796,14485,91.70043049,77,0.487465181,56,0.354520132,1178,7.457584199
0500000US05143,"Washington County, Arkansas",245871,168351,68.47127152,8652,3.518918457,5718,2.325609771,63150,25.68420025
0500000US05145,"White County, Arkansas",76822,65237,84.91968447,3728,4.852776548,623,0.810965609,7234,9.416573377
0500000US05147,"Woodruff County, Arkansas",6269,4255,67.87366406,1613,25.72978146,22,0.350933163,379,6.045621311
0500000US05149,"Yell County, Arkansas",20263,15330,75.65513498,251,1.238710951,202,0.996890885,4480,22.10926319
0500000US06001,"Alameda County, California",1682353,523836,31.13710381,164879,9.800499657,545261,32.41061775,448377,26.65177879
0500000US06003,"Alpine County, California",1204,814,67.60797342,10,0.830564784,12,0.996677741,368,30.56478405
0500000US06005,"Amador County, California",40474,31104,76.84933538,1236,3.053812324,582,1.437960172,7552,18.65889213
0500000US06007,"Butte County, California",211632,149557,70.66842443,3644,1.721856808,10533,4.977035609,47898,22.63268315
0500000US06009,"Calaveras County, California",45292,36315,80.17972269,364,0.803673938,743,1.640466308,7870,17.37613707
0500000US06011,"Colusa County, California",21839,9364,42.87742113,198,0.906634919,276,1.26379413,12001,54.95214982
0500000US06013,"Contra Costa County, California",1165927,501697,43.02988094,101485,8.704232769,217823,18.68238749,344922,29.5834988
0500000US06015,"Del Norte County, California",27743,17193,61.97238943,855,3.081858487,840,3.027790794,8855,31.91796129
0500000US06017,"El Dorado County, California",191185,146624,76.69220912,1537,0.803933363,9200,4.812092999,33824,17.69176452
0500000US06019,"Fresno County, California",1008654,374678,37.14633561,48707,4.828910608,113328,11.2355674,471941,46.78918638
0500000US06021,"Glenn County, California",28917,15753,54.47660546,177,0.612096691,647,2.237438185,12340,42.67385967
0500000US06023,"Humboldt County, California",136463,98095,71.88395389,1879,1.37693001,3615,2.649069711,32874,24.09004639
0500000US06025,"Imperial County, California",179702,47537,26.45323925,4362,2.427351949,3049,1.696697866,124754,69.42271093
0500000US06027,"Inyo County, California",19016,11752,61.80058898,97,0.510096761,282,1.482961716,6885,36.20635255
0500000US06029,"Kern County, California",909235,371734,40.88425984,50130,5.513426122,46777,5.144654572,440594,48.45765946
0500000US06031,"Kings County, California",152486,61226,40.1518828,9023,5.917264536,5923,3.884291017,76314,50.04656165
0500000US06033,"Lake County, California",68163,46858,68.74404002,1199,1.759018823,1004,1.472939865,19102,28.02400129
0500000US06035,"Lassen County, California",32730,21066,64.36296975,2277,6.956920257,494,1.509318668,8893,27.17079132
0500000US06037,"Los Angeles County, California",10014009,3259427,32.54867256,794364,7.932527322,1499984,14.97885612,4460234,44.53994399
0500000US06039,"Madera County, California",156255,65248,41.75738376,4596,2.941345877,3907,2.500399987,82504,52.80087037
0500000US06041,"Marin County, California",262321,179377,68.38072438,6339,2.416504969,16431,6.263699818,60174,22.93907083
0500000US06043,"Mariposa County, California",17131,13385,78.1332088,108,0.630436052,298,1.739536513,3340,19.49681863
0500000US06045,"Mendocino County, California",91601,59510,64.96653967,642,0.700865711,1788,1.951943756,29661,32.38065087
0500000US06047,"Merced County, California",281202,104534,37.17398881,9158,3.256733594,20715,7.366590565,146795,52.20268704
0500000US06049,"Modoc County, California",8700,6772,77.83908046,67,0.770114943,61,0.701149425,1800,20.68965517
0500000US06051,"Mono County, California",13195,9349,70.85259568,74,0.560818492,163,1.235316408,3609,27.35126942
0500000US06053,"Monterey County, California",439035,158879,36.18823101,9943,2.264739713,26680,6.076964251,243533,55.47006503
0500000US06055,"Napa County, California",138019,76158,55.17935936,2443,1.770046153,10753,7.790956318,48665,35.25963817
0500000US06057,"Nevada County, California",102241,85604,83.72766307,460,0.449917352,1427,1.395721873,14750,14.4266977
0500000US06059,"Orange County, California",3186989,1383257,43.40325618,53842,1.689431623,706813,22.17808094,1043077,32.72923126
0500000US06061,"Placer County, California",404739,288586,71.30175249,6890,1.702331626,35500,8.771084575,73763,18.22483131
0500000US06063,"Plumas County, California",19790,16608,83.92117231,103,0.520464881,152,0.768064679,2927,14.79029813
0500000US06065,"Riverside County, California",2418185,995627,41.17249094,156477,6.470844869,171243,7.081468126,1094838,45.27519607
0500000US06067,"Sacramento County, California",1585055,715722,45.15439527,152795,9.63972859,281733,17.77433591,434805,27.43154023
0500000US06069,"San Benito County, California",64209,27230,42.40838512,634,0.98740052,2423,3.773614291,33922,52.83060007
0500000US06071,"San Bernardino County, California",2181654,782691,35.87603717,184558,8.459544914,182287,8.355449581,1032118,47.30896833
0500000US06073,"San Diego County, California",3298634,1633129,49.50925141,155813,4.723561329,410752,12.45218475,1098940,33.31500251
0500000US06075,"San Francisco County, California",873965,361382,41.3497108,46725,5.346323937,296505,33.92641582,169353,19.37754944
0500000US06077,"San Joaquin County, California",779233,267339,34.30796694,60351,7.744923534,139323,17.87950459,312220,40.06760494
0500000US06079,"San Luis Obispo County, California",282424,198338,70.22703453,4610,1.632297538,10402,3.683114749,69074,24.45755318
0500000US06081,"San Mateo County, California",764442,300188,39.26890464,15707,2.054701338,230242,30.11896259,218305,28.55743143
0500000US06083,"Santa Barbara County, California",448229,224748,50.14133401,7374,1.645141211,26549,5.923088421,189558,42.29043636
0500000US06085,"Santa Clara County, California",1936259,622617,32.15566719,44966,2.322313286,759030,39.20085071,509646,26.32116881
0500000US06087,"Santa Cruz County, California",270861,160565,59.27948283,3150,1.162958122,12553,4.634480416,94593,34.92307863
0500000US06089,"Shasta County, California",182155,142899,78.449123,1912,1.049655513,5978,3.281820428,31366,17.21940106
0500000US06091,"Sierra County, California",3236,2703,83.52904821,7,0.21631644,7,0.21631644,519,16.03831891
0500000US06093,"Siskiyou County, California",44076,33597,76.22515655,496,1.125328977,888,2.014701879,9095,20.6348126
0500000US06095,"Solano County, California",453491,175768,38.75887283,62157,13.70633596,72766,16.04574291,142800,31.48904829
0500000US06097,"Sonoma County, California",488863,306684,62.73414024,7615,1.557696123,22845,4.67308837,151719,31.03507527
0500000US06099,"Stanislaus County, California",552878,256602,46.4120475,15913,2.87821183,34778,6.290357005,245585,44.41938366
0500000US06101,"Sutter County, California",99633,46810,46.9824255,1982,1.989300734,18234,18.30116528,32607,32.72710849
0500000US06103,"Tehama County, California",65829,44926,68.24651749,420,0.63801668,1027,1.56010269,19456,29.55536314
0500000US06105,"Trinity County, California",16112,11627,72.16360477,71,0.440665343,2222,13.79096326,2192,13.60476663
0500000US06107,"Tulare County, California",473117,186255,39.36764056,6668,1.409376539,17194,3.634196192,263000,55.58878671
0500000US06109,"Tuolumne County, California",55620,44207,79.48040273,1009,1.814095649,816,1.467098166,9588,17.23840345
0500000US06111,"Ventura County, California",843843,428677,50.80056361,15330,1.816688649,64923,7.693729758,334913,39.68901798
